Username,TwitterHandle
aivia,nousplatform
tedlivingston,ted_livingston
botsbyrevenyou,reven_you
botsbyrevenyou,reven_you
joeldg,joeldg
krlosimc,krlosimc
aivia,nousplatform
LiveTrader,LiveTraderIO
napoleonx.ai,Napoleon_Group
botsbyrevenyou,reven_you
napoleonx.ai,Napoleon_Group
